ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
AB,,,,,9.35,,,,,,,"<b>COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA</b><br/>Real/Liceal/Zi",<b>(117) Matematică-Informatică</b><br/>Limba română
AB,,,,,9.57,,,,,,,"<b>COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA</b><br/>Real/Liceal/Zi",<b>(118) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,9.27,,,,,,,"<b>COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(119) Ştiinţe Sociale</b><br/>Limba română
AB,,,,,8.67,,,,,,,"<b>COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(116) Filologie</b><br/>Limba română
AB,,,,,9.12,,,,,,,"<b>COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(115) Filologie</b><br/>Limba română
AB,,,,,6.50,,,,,,,"<b>LICEUL TEHNOLOGIC ""DORIN PAVEL"" ALBA IULIA</b><br/>Tehnic/Liceal/Zi","<b>(155) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română"
AB,,,,,8.17,,,,,,,"<b>COLEGIUL TEHNIC ""APULUM"" ALBA IULIA</b><br/>Tehnic/Liceal/Zi",<b>(133) Chimie industrială</b><br/>Limba română
AB,,,,,7.97,,,,,,,"<b>COLEGIUL TEHNIC ""APULUM"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(134) Estetica şi igiena corpului omenesc</b><br/>Limba română
AB,,,,,8.42,,,,,,,"<b>COLEGIUL ECONOMIC ""DIONISIE POP MARTIAN"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(101) Comerţ</b><br/>Limba română
AB,,,,,8.95,,,,,,,"<b>COLEGIUL ECONOMIC ""DIONISIE POP MARTIAN"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(102) Economic</b><br/>Limba română
AB,,,,,8.57,,,,,,,"<b>COLEGIUL ECONOMIC ""DIONISIE POP MARTIAN"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(103) Turism şi alimentaţie</b><br/>Limba română
AB,,,,,7.57,,,,,,,"<b>LICEUL TEHNOLOGIC ""ALEXANDRU DOMSA"" ALBA IULIA</b><br/>Tehnic/Liceal/Zi",<b>(152) Electronică automatizări</b><br/>Limba română
AB,,,,,7.20,,,,,,,"<b>LICEUL TEHNOLOGIC ""ALEXANDRU DOMSA"" ALBA IULIA</b><br/>Tehnic/Liceal/Zi",<b>(153) Mecanică</b><br/>Limba română
AB,,,,,8.52,,,,,,,"<b>SEMINARUL TEOLOGIC ORTODOX ""SFANTUL SIMION STEFAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(180) Filologie</b><br/>Limba română
AB,,,,,8.65,,,,,,,"<b>SEMINARUL TEOLOGIC ORTODOX ""SFANTUL SIMION STEFAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(182) Ştiinţe Sociale</b><br/>Limba română
AB,,,,,5.90,,,,,,,"<b>LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD</b><br/>Real/Liceal/Zi",<b>(142) Matematică-Informatică</b><br/>Limba română
AB,,,,,6.70,,,,,,,"<b>LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD</b><br/>Real/Liceal/Zi",<b>(144) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,8.20,,,,,,,"<b>COLEGIUL NATIONAL ""TITU MAIORESCU"" AIUD</b><br/>Umanist/Liceal/Zi",<b>(129) Filologie</b><br/>Limba română
AB,,,,,8.70,,,,,,,"<b>COLEGIUL NATIONAL ""TITU MAIORESCU"" AIUD</b><br/>Real/Liceal/Zi",<b>(130) Matematică-Informatică</b><br/>Limba română
AB,,,,,7.82,,,,,,,"<b>COLEGIUL NATIONAL ""TITU MAIORESCU"" AIUD</b><br/>Real/Liceal/Zi",<b>(131) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,6.13,,,,,,,"<b>COLEGIUL NATIONAL ""BETHLEN GABOR"" AIUD</b><br/>Real/Liceal/Zi",<b>(109) Matematică-Informatică</b><br/>Limba maghiară
AB,,,,,7.46,,,,,,,"<b>COLEGIUL NATIONAL ""BETHLEN GABOR"" AIUD</b><br/>Real/Liceal/Zi",<b>(111) Ştiinţe ale Naturii</b><br/>Limba maghiară
AB,,,,,7.17,,,,,,,<b>LICEUL TEHNOLOGIC AIUD</b><br/>Servicii/Liceal/Zi,<b>(162) Economic</b><br/>Limba română
