year,h,sp,last_madm,avg_madm_school,avg_madm_sp,count_per_school_sp
2020,<b>COLEGIUL AGRICOL DANIIL POPOVICI BARCIANU SIBIU</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(106) Agricultură</b><br/>Limba română,7.6,7.04,6.734999999999999,2
2020,<b>COLEGIUL AGRICOL DANIIL POPOVICI BARCIANU SIBIU</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(108) Protecţia mediului</b><br/>Limba română,7.92,7.04,7.405,2
2020,<b>COLEGIUL AGRICOL DANIIL POPOVICI BARCIANU SIBIU</b><br/>Servicii/Liceal/Zi,<b>(107) Comerţ</b><br/>Limba română,8.06,7.515000000000001,6.481111111111111,2
2020,"<b>COLEGIUL AGRICOL DIMITRIE CANTEMIR, MUN. HUŞI</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(101) Agricultură</b><br/>Limba română,3.72,4.918333333333333,4.69,2
2020,"<b>COLEGIUL AGRICOL DIMITRIE CANTEMIR, MUN. HUŞI</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(103) Industrie alimentară</b><br/>Limba română,6.46,4.918333333333333,6.270714285714285,2
2020,"<b>COLEGIUL AGRICOL DIMITRIE CANTEMIR, MUN. HUŞI</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(105) Protecţia mediului</b><br/>Limba română,5.88,4.918333333333333,4.711,2
2020,"<b>COLEGIUL AGRICOL DIMITRIE CANTEMIR, MUN. HUŞI</b><br/>Servicii/Liceal/Zi",<b>(102) Economic</b><br/>Limba română,7.07,6.695,6.929012345679013,2
2020,"<b>COLEGIUL AGRICOL DIMITRIE CANTEMIR, MUN. HUŞI</b><br/>Tehnic/Liceal/Zi",<b>(104) Mecanică</b><br/>Limba română,5.32,4.355,4.525,2
2020,<b>COLEGIUL AGRICOL TRAIAN SĂVULESCU TÎRGU MUREȘ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(101) Agricultură</b><br/>Limba română,4.52,4.704999999999999,4.69,1
2020,<b>COLEGIUL AGRICOL TRAIAN SĂVULESCU TÎRGU MUREȘ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(103) Industrie alimentară</b><br/>Limba română,6.13,4.704999999999999,6.270714285714285,1
2020,<b>COLEGIUL AGRICOL TRAIAN SĂVULESCU TÎRGU MUREȘ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(104) Protecţia mediului</b><br/>Limba română,5.58,4.704999999999999,6.118333333333333,1
2020,<b>COLEGIUL AGRICOL TRAIAN SĂVULESCU TÎRGU MUREȘ</b><br/>Servicii/Liceal/Zi,<b>(102) Economic</b><br/>Limba română,6.76,5.5,6.929012345679013,1
2020,"<b>COLEGIUL AGRICOL ŞI DE INDUSTRIE ALIMENTARĂ VASILE ADAMACHI, IAŞI</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(101) Agricultură</b><br/>Limba română,6.7,6.568333333333334,4.69,2
2020,"<b>COLEGIUL AGRICOL ŞI DE INDUSTRIE ALIMENTARĂ VASILE ADAMACHI, IAŞI</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(103) Industrie alimentară</b><br/>Limba română,7.16,6.568333333333334,6.270714285714285,1
2020,"<b>COLEGIUL AGRICOL ŞI DE INDUSTRIE ALIMENTARĂ VASILE ADAMACHI, IAŞI</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(104) Protecţia mediului</b><br/>Limba română,6.79,6.568333333333334,6.118333333333333,1
2020,"<b>COLEGIUL AGRICOL ŞI DE INDUSTRIE ALIMENTARĂ VASILE ADAMACHI, IAŞI</b><br/>Servicii/Liceal/Zi",<b>(102) Economic</b><br/>Limba română,7.19,7.050000000000001,6.929012345679013,1
2020,"<b>COLEGIUL AGRICOL ŞI DE INDUSTRIE ALIMENTARĂ VASILE ADAMACHI, IAŞI</b><br/>Servicii/Liceal/Zi",<b>(105) Turism şi alimentaţie</b><br/>Limba română,6.91,7.050000000000001,6.205,1
2020,<b>COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI</b><br/>Real/Liceal/Zi,<b>(105) Matematică-Informatică</b><br/>Limba română,8.6,7.5975,7.78047619047619,1
2020,<b>COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI</b><br/>Real/Liceal/Zi,<b>(109) Ştiinţe ale Naturii</b><br/>Limba română,7.72,7.5975,7.72945945945946,1
2020,<b>COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI</b><br/>Servicii/Liceal/Zi,<b>(101) Economic</b><br/>Limba română,6.59,5.760000000000001,6.257777777777778,2
2020,<b>COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI</b><br/>Servicii/Liceal/Zi,<b>(107) Turism şi alimentaţie</b><br/>Limba polonă,3.82,5.760000000000001,3.82,1
2020,<b>COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI</b><br/>Servicii/Liceal/Zi,<b>(108) Turism şi alimentaţie</b><br/>Limba română,6.08,5.760000000000001,6.395789473684211,1
2020,<b>COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI</b><br/>Tehnic/Liceal/Zi,<b>(102) Electronică automatizări</b><br/>Limba română,5.34,4.954,4.686,1
2020,<b>COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI</b><br/>Tehnic/Liceal/Zi,<b>(104) Industrie textilă şi pielărie</b><br/>Limba română,4.63,4.954,3.99,1
2020,<b>COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI</b><br/>Tehnic/Liceal/Zi,<b>(106) Mecanică</b><br/>Limba română,3.26,4.954,3.9499999999999997,1
2020,<b>COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI</b><br/>Umanist/Liceal/Zi,<b>(103) Filologie</b><br/>Limba română,7.3,7.5275,6.459545454545455,1
2020,<b>COLEGIUL ALEXANDRU CEL BUN GURA HUMORULUI</b><br/>Umanist/Liceal/Zi,<b>(111) Ştiinţe Sociale</b><br/>Limba română,7.56,7.5275,7.173333333333333,1
2020,<b>COLEGIUL ANDRONIC MOTRESCU RĂDĂUȚI</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(112) Agricultură</b><br/>Limba română,5.84,5.881666666666667,3.966,1
2020,<b>COLEGIUL ANDRONIC MOTRESCU RĂDĂUȚI</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(115) Industrie alimentară</b><br/>Limba română,6.57,5.881666666666667,5.165,1
