ja,n,jp,s,sc,madm,mev,mabs,nro,nmate,lm,nlm,h,sp
AB,,,,,9.36,,,,,,,"<b>COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA</b><br/>Real/Liceal/Zi",<b>(110) Matematică-Informatică</b><br/>Limba română
AB,,,,,9.41,,,,,,,"<b>COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA</b><br/>Real/Liceal/Zi",<b>(111) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,9.24,,,,,,,"<b>COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(112) Ştiinţe Sociale</b><br/>Limba română
AB,,,,,8.35,,,,,,,"<b>COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(109) Filologie</b><br/>Limba română
AB,,,,,9.17,,,,,,,"<b>COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(108) Filologie</b><br/>Limba română
AB,,,,,7.75,,,,,,,"<b>LICEUL TEHNOLOGIC ""ALEXANDRU DOMSA"" ALBA IULIA</b><br/>Tehnic/Liceal/Zi",<b>(147) Electronică automatizări</b><br/>Limba română
AB,,,,,7.19,,,,,,,"<b>LICEUL TEHNOLOGIC ""ALEXANDRU DOMSA"" ALBA IULIA</b><br/>Tehnic/Liceal/Zi",<b>(148) Mecanică</b><br/>Limba română
AB,,,,,6.97,,,,,,,"<b>LICEUL TEHNOLOGIC ""DORIN PAVEL"" ALBA IULIA</b><br/>Tehnic/Liceal/Zi","<b>(149) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română"
AB,,,,,8.09,,,,,,,"<b>COLEGIUL TEHNIC ""APULUM"" ALBA IULIA</b><br/>Tehnic/Liceal/Zi",<b>(130) Chimie industrială</b><br/>Limba română
AB,,,,,8.06,,,,,,,"<b>COLEGIUL TEHNIC ""APULUM"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(131) Estetica şi igiena corpului omenesc</b><br/>Limba română
AB,,,,,8.40,,,,,,,"<b>SEMINARUL TEOLOGIC ORTODOX ""SFANTUL SIMION STEFAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(172) Filologie</b><br/>Limba română
AB,,,,,8.67,,,,,,,"<b>SEMINARUL TEOLOGIC ORTODOX ""SFANTUL SIMION STEFAN"" ALBA IULIA</b><br/>Umanist/Liceal/Zi",<b>(173) Ştiinţe Sociale</b><br/>Limba română
AB,,,,,8.43,,,,,,,"<b>COLEGIUL ECONOMIC ""DIONISIE POP MARTIAN"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(101) Comerţ</b><br/>Limba română
AB,,,,,8.94,,,,,,,"<b>COLEGIUL ECONOMIC ""DIONISIE POP MARTIAN"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(102) Economic</b><br/>Limba română
AB,,,,,8.52,,,,,,,"<b>COLEGIUL ECONOMIC ""DIONISIE POP MARTIAN"" ALBA IULIA</b><br/>Servicii/Liceal/Zi",<b>(103) Turism şi alimentaţie</b><br/>Limba română
AB,,,,,8.33,,,,,,,"<b>LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD</b><br/>Real/Liceal/Zi",<b>(136) Matematică-Informatică</b><br/>Limba română
AB,,,,,7.94,,,,,,,"<b>LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD</b><br/>Real/Liceal/Zi",<b>(137) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,7.20,,,,,,,"<b>LICEUL ""HOREA, CLOSCA SI CRISAN"" ABRUD</b><br/>Umanist/Liceal/Zi",<b>(138) Filologie</b><br/>Limba română
AB,,,,,7.78,,,,,,,"<b>COLEGIUL NATIONAL ""BETHLEN GABOR"" AIUD</b><br/>Real/Liceal/Zi",<b>(105) Matematică-Informatică</b><br/>Limba maghiară
AB,,,,,5.74,,,,,,,"<b>COLEGIUL NATIONAL ""BETHLEN GABOR"" AIUD</b><br/>Real/Liceal/Zi",<b>(107) Ştiinţe ale Naturii</b><br/>Limba maghiară
AB,,,,,7.83,,,,,,,"<b>COLEGIUL NATIONAL ""TITU MAIORESCU"" AIUD</b><br/>Umanist/Liceal/Zi",<b>(122) Filologie</b><br/>Limba română
AB,,,,,8.00,,,,,,,"<b>COLEGIUL NATIONAL ""TITU MAIORESCU"" AIUD</b><br/>Real/Liceal/Zi",<b>(123) Matematică-Informatică</b><br/>Limba română
AB,,,,,7.44,,,,,,,"<b>COLEGIUL NATIONAL ""TITU MAIORESCU"" AIUD</b><br/>Real/Liceal/Zi",<b>(124) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,6.67,,,,,,,<b>LICEUL TEHNOLOGIC AIUD</b><br/>Servicii/Liceal/Zi,<b>(153) Economic</b><br/>Limba română
AB,,,,,6.12,,,,,,,<b>LICEUL TEHNOLOGIC AIUD</b><br/>Tehnic/Liceal/Zi,<b>(154) Mecanică</b><br/>Limba română
AB,,,,,7.42,,,,,,,"<b>COLEGIUL NATIONAL ""INOCHENTIE MICU CLAIN"" BLAJ</b><br/>Umanist/Liceal/Zi",<b>(114) Filologie</b><br/>Limba română
AB,,,,,7.89,,,,,,,"<b>COLEGIUL NATIONAL ""INOCHENTIE MICU CLAIN"" BLAJ</b><br/>Real/Liceal/Zi",<b>(115) Matematică-Informatică</b><br/>Limba română
AB,,,,,7.97,,,,,,,"<b>COLEGIUL NATIONAL ""INOCHENTIE MICU CLAIN"" BLAJ</b><br/>Real/Liceal/Zi",<b>(117) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,6.62,,,,,,,"<b>LICEUL TEHNOLOGIC ""STEFAN MANCIULEA"" BLAJ</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(151) Agricultură</b><br/>Limba română
AB,,,,,7.02,,,,,,,"<b>LICEUL TEHNOLOGIC ""STEFAN MANCIULEA"" BLAJ</b><br/>Servicii/Liceal/Zi",<b>(152) Economic</b><br/>Limba română
AB,,,,,8.75,,,,,,,"<b>COLEGIUL NATIONAL ""AVRAM IANCU"" CIMPENI</b><br/>Real/Liceal/Zi",<b>(128) Matematică-Informatică</b><br/>Limba română
AB,,,,,8.34,,,,,,,"<b>COLEGIUL NATIONAL ""AVRAM IANCU"" CIMPENI</b><br/>Real/Liceal/Zi",<b>(129) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,7.32,,,,,,,"<b>COLEGIUL NATIONAL ""AVRAM IANCU"" CIMPENI</b><br/>Umanist/Liceal/Zi",<b>(127) Ştiinţe Sociale</b><br/>Limba română
AB,,,,,7.96,,,,,,,"<b>COLEGIUL NATIONAL ""AVRAM IANCU"" CIMPENI</b><br/>Umanist/Liceal/Zi",<b>(126) Filologie</b><br/>Limba română
AB,,,,,6.64,,,,,,,<b>LICEUL TEHNOLOGIC SILVIC CIMPENI</b><br/>Servicii/Liceal/Zi,<b>(161) Economic</b><br/>Limba română
AB,,,,,6.91,,,,,,,"<b>LICEUL TEORETIC ""DAVID PRODAN"" CUGIR</b><br/>Umanist/Liceal/Zi",<b>(164) Filologie</b><br/>Limba română
AB,,,,,6.42,,,,,,,"<b>LICEUL TEORETIC ""DAVID PRODAN"" CUGIR</b><br/>Real/Liceal/Zi",<b>(165) Matematică-Informatică</b><br/>Limba română
AB,,,,,6.12,,,,,,,"<b>LICEUL TEORETIC ""DAVID PRODAN"" CUGIR</b><br/>Real/Liceal/Zi",<b>(166) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,6.73,,,,,,,"<b>COLEGIUL TEHNIC ""ION D. LAZARESCU"" CUGIR</b><br/>Servicii/Liceal/Zi",<b>(132) Economic</b><br/>Limba română
AB,,,,,6.31,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" OCNA MURES</b><br/>Umanist/Liceal/Zi",<b>(167) Filologie</b><br/>Limba română
AB,,,,,6.29,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" OCNA MURES</b><br/>Real/Liceal/Zi",<b>(168) Matematică-Informatică</b><br/>Limba română
AB,,,,,6.30,,,,,,,"<b>LICEUL TEORETIC ""PETRU MAIOR"" OCNA MURES</b><br/>Real/Liceal/Zi",<b>(169) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,6.83,,,,,,,<b>LICEUL GERMAN SEBES</b><br/>Umanist/Liceal/Zi,<b>(145) Filologie</b><br/>Limba germană
AB,,,,,7.52,,,,,,,<b>LICEUL GERMAN SEBES</b><br/>Real/Liceal/Zi,<b>(146) Ştiinţe ale Naturii</b><br/>Limba germană
AB,,,,,7.86,,,,,,,<b>LICEUL TEHNOLOGIC SEBES</b><br/>Servicii/Liceal/Zi,<b>(156) Economic</b><br/>Limba română
AB,,,,,7.61,,,,,,,<b>LICEUL TEHNOLOGIC SEBES</b><br/>Servicii/Liceal/Zi,<b>(157) Turism şi alimentaţie</b><br/>Limba română
AB,,,,,7.32,,,,,,,<b>LICEUL TEHNOLOGIC SEBES</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(158) Industrie alimentară</b><br/>Limba română
AB,,,,,6.96,,,,,,,<b>LICEUL TEHNOLOGIC SEBES</b><br/>Tehnic/Liceal/Zi,<b>(159) Industrie textilă şi pielărie</b><br/>Limba română
AB,,,,,9.11,,,,,,,"<b>COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES</b><br/>Real/Liceal/Zi",<b>(119) Matematică-Informatică</b><br/>Limba română
AB,,,,,8.59,,,,,,,"<b>COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES</b><br/>Real/Liceal/Zi",<b>(120) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,8.29,,,,,,,"<b>COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES</b><br/>Umanist/Liceal/Zi",<b>(121) Ştiinţe Sociale</b><br/>Limba română
AB,,,,,8.26,,,,,,,"<b>COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES</b><br/>Umanist/Liceal/Zi",<b>(118) Filologie</b><br/>Limba română
AB,,,,,6.59,,,,,,,"<b>LICEUL ""CORNELIU MEDREA"" ZLATNA</b><br/>Real/Liceal/Zi",<b>(133) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,6.61,,,,,,,"<b>LICEUL ""DR. LAZAR CHIRILA"" BAIA DE ARIES</b><br/>Umanist/Liceal/Zi",<b>(134) Filologie</b><br/>Limba română
AB,,,,,7.07,,,,,,,"<b>LICEUL ""DR. LAZAR CHIRILA"" BAIA DE ARIES</b><br/>Real/Liceal/Zi",<b>(135) Ştiinţe ale Naturii</b><br/>Limba română
AB,,,,,7.02,,,,,,,<b>LICEUL TEORETIC TEIUS</b><br/>Umanist/Liceal/Zi,<b>(170) Filologie</b><br/>Limba română
AB,,,,,6.73,,,,,,,<b>LICEUL TEORETIC TEIUS</b><br/>Real/Liceal/Zi,<b>(171) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,4.21,,,,,,,"<b>COLEGIUL PARTICULAR ""VASILE GOLDIŞ"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(207) Filologie</b><br/>Limba română
AR,,,,,5.63,,,,,,,"<b>COLEGIUL PARTICULAR ""VASILE GOLDIŞ"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(208) Economic</b><br/>Limba română
AR,,,,,4.85,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(162) Comerţ</b><br/>Limba română
AR,,,,,4.85,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(163) Estetica şi igiena corpului omenesc</b><br/>Limba română
AR,,,,,4.36,,,,,,,"<b>LICEUL TEHNOLOGIC ""FRANCISC NEUMAN"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(164) Industrie textilă şi pielărie</b><br/>Limba română
AR,,,,,5.87,,,,,,,"<b>LICEUL TEHNOLOGIC ""AUREL VLAICU"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(144) Electric</b><br/>Limba română
AR,,,,,5.58,,,,,,,"<b>LICEUL TEHNOLOGIC ""AUREL VLAICU"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(145) Mecanică</b><br/>Limba română
AR,,,,,7.50,,,,,,,<b>COLEGIUL ECONOMIC ARAD</b><br/>Servicii/Liceal/Zi,<b>(105) Economic</b><br/>Limba română
AR,,,,,7.24,,,,,,,<b>COLEGIUL ECONOMIC ARAD</b><br/>Servicii/Liceal/Zi,<b>(106) Turism şi alimentaţie</b><br/>Limba română
AR,,,,,4.17,,,,,,,"<b>LICEUL TEHNOLOGIC ""IULIU MOLDOVAN"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(166) Fabricarea produselor din lemn</b><br/>Limba română
AR,,,,,3.65,,,,,,,"<b>LICEUL TEHNOLOGIC ""IULIU MOLDOVAN"" ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi",<b>(168) Silvicultură</b><br/>Limba română
AR,,,,,6.72,,,,,,,<b>LICEUL TEOLOGIC PENTICOSTAL ARAD</b><br/>Real/Liceal/Zi,<b>(183) Matematică-Informatică</b><br/>Limba română
AR,,,,,7.72,,,,,,,<b>LICEUL NAŢIONAL DE INFORMATICĂ ARAD</b><br/>Real/Liceal/Zi,<b>(141) Matematică-Informatică</b><br/>Limba română
AR,,,,,8.33,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(125) Filologie</b><br/>Limba română
AR,,,,,8.47,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Real/Liceal/Zi",<b>(127) Matematică-Informatică</b><br/>Limba română
AR,,,,,8.84,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Real/Liceal/Zi",<b>(128) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,8.43,,,,,,,"<b>COLEGIUL NAŢIONAL ""VASILE GOLDIŞ"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(126) Filologie</b><br/>Limba română
AR,,,,,5.90,,,,,,,<b>LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(157) Agricultură</b><br/>Limba română
AR,,,,,6.10,,,,,,,<b>LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(158) Industrie alimentară</b><br/>Limba română
AR,,,,,8.14,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(113) Filologie</b><br/>Limba română
AR,,,,,7.77,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Real/Liceal/Zi",<b>(115) Matematică-Informatică</b><br/>Limba română
AR,,,,,7.89,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Real/Liceal/Zi",<b>(116) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,8.09,,,,,,,"<b>COLEGIUL NAŢIONAL ""ELENA GHIBA BIRTA"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(114) Filologie</b><br/>Limba română
AR,,,,,6.67,,,,,,,"<b>LICEUL TEORETIC ""ADAM MULLER GUTTENBRUNN"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(185) Filologie</b><br/>Limba germană
AR,,,,,5.40,,,,,,,"<b>LICEUL TEORETIC ""ADAM MULLER GUTTENBRUNN"" ARAD</b><br/>Real/Liceal/Zi",<b>(187) Ştiinţe ale Naturii</b><br/>Limba germană
AR,,,,,7.12,,,,,,,"<b>LICEUL TEORETIC ""ADAM MULLER GUTTENBRUNN"" ARAD</b><br/>Real/Liceal/Zi",<b>(188) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,7.10,,,,,,,"<b>LICEUL TEORETIC ""ADAM MULLER GUTTENBRUNN"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(186) Filologie</b><br/>Limba română
AR,,,,,3.82,,,,,,,"<b>LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO ""HENRI COANDĂ"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(161) Mecanică</b><br/>Limba română
AR,,,,,8.65,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(117) Filologie</b><br/>Limba română
AR,,,,,9.16,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Real/Liceal/Zi",<b>(118) Matematică-Informatică</b><br/>Limba română
AR,,,,,8.77,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Real/Liceal/Zi",<b>(119) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,9.29,,,,,,,"<b>COLEGIUL NAŢIONAL ""MOISE NICOARĂ"" ARAD</b><br/>Real/Liceal/Zi",<b>(120) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,3.78,,,,,,,"<b>LICEUL TEHNOLOGIC DE ELECTRONICĂ ŞI AUTOMATIZĂRI ""CAIUS IACOB"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(155) Electric</b><br/>Limba română
AR,,,,,3.28,,,,,,,"<b>LICEUL TEHNOLOGIC DE ELECTRONICĂ ŞI AUTOMATIZĂRI ""CAIUS IACOB"" ARAD</b><br/>Tehnic/Liceal/Zi",<b>(156) Electronică automatizări</b><br/>Limba română
AR,,,,,4.81,,,,,,,<b>LICEUL TEHNOLOGIC DE CONSTRUCŢII ŞI PROTECŢIA MEDIULUI ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(151) Chimie industrială</b><br/>Limba română
AR,,,,,5.45,,,,,,,<b>LICEUL TEHNOLOGIC DE CONSTRUCŢII ŞI PROTECŢIA MEDIULUI ARAD</b><br/>Tehnic/Liceal/Zi,"<b>(153) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română"
AR,,,,,5.24,,,,,,,<b>LICEUL TEHNOLOGIC DE CONSTRUCŢII ŞI PROTECŢIA MEDIULUI ARAD</b><br/>Resurse naturale și protecția mediului/Liceal/Zi,<b>(154) Protecţia mediului</b><br/>Limba română
AR,,,,,6.45,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(129) Economic</b><br/>Limba maghiară
AR,,,,,6.15,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Real/Liceal/Zi",<b>(130) Matematică-Informatică</b><br/>Limba maghiară
AR,,,,,3.85,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Servicii/Liceal/Zi",<b>(131) Turism şi alimentaţie</b><br/>Limba maghiară
AR,,,,,6.64,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Real/Liceal/Zi",<b>(132) Ştiinţe ale Naturii</b><br/>Limba maghiară
AR,,,,,6.67,,,,,,,"<b>COLEGIUL""CSIKY GERGELY"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(133) Ştiinţe Sociale</b><br/>Limba maghiară
AR,,,,,9.49,,,,,,,"<b>COLEGIUL NAŢIONAL ""PREPARANDIA-DIMITRIE ŢICHINDEAL"" ARAD</b><br/>Real/Liceal/Zi",<b>(123) Matematică-Informatică</b><br/>Limba română
AR,,,,,8.85,,,,,,,"<b>COLEGIUL NAŢIONAL ""PREPARANDIA-DIMITRIE ŢICHINDEAL"" ARAD</b><br/>Umanist/Liceal/Zi",<b>(122) Filologie</b><br/>Limba română
AR,,,,,8.52,,,,,,,"<b>LICEUL TEOLOGIC BAPTIST ""ALEXA POPOVICI"" ARAD</b><br/>Real/Liceal/Zi",<b>(182) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,6.60,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Umanist/Liceal/Zi",<b>(196) Filologie</b><br/>Limba română
AR,,,,,7.88,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Real/Liceal/Zi",<b>(197) Matematică-Informatică</b><br/>Limba română
AR,,,,,6.29,,,,,,,"<b>LICEUL TEORETIC ""MIHAI VELICIU"" CHISINEU-CRIS</b><br/>Real/Liceal/Zi",<b>(198) Ştiinţe ale Naturii</b><br/>Limba română
AR,,,,,5.46,,,,,,,<b>LICEUL TEHNOLOGIC CHIŞINEU CRIŞ</b><br/>Servicii/Liceal/Zi,<b>(148) Economic</b><br/>Limba română
AR,,,,,3.34,,,,,,,<b>LICEUL TEHNOLOGIC CHIŞINEU CRIŞ</b><br/>Tehnic/Liceal/Zi,<b>(149) Mecanică</b><br/>Limba română
